Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.eprescription.json	63846	-	0	0	0	0	0	0	29	52	0	0	0	0	0	0	0	1	0	0	62	206	424	0	0	0	9	0	2
fsh-generated/resources/Bundle-HAS-01-Presc-Pantoprazole-DC.json	3299	4	22	0	1	0	0	0	1	293	0	0	0	0	0	0	0	0	0	0	22	12	25	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-01-Presc-Pantoprazole-MV.json	2018	2	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	10	8	14	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-02-Presc-Fluindione.json	2082	2	2	0	0	0	0	0	1	1239	0	0	0	0	0	0	0	0	0	0	9	9	29	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-03-Presc-INNOHEP.json	2541	2	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	6	9	28	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-04a-Presc-Paracetamol.json	2688	1	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	6	8	26	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-04b-Presc-DAFALGANCODEINE.json	3755	2	3	0	0	0	0	0	0	459	0	0	0	0	0	0	0	0	0	0	7	11	25	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-05a-Presc-Fluindione.json	2142	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	5	10	22	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-05b-Presc-ACTISKENAN.json	2313	2	1	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	5	6	28	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-06-1-Presc-Methotrexate.json	2204	1	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	6	31	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-06-2-Presc-Methotrexate.json	2175	2	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	6	18	0	0	1	0	0	0
fsh-generated/resources/Bundle-HAS-07-Presc-Paracetamol.json	2675	1	1	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	5	9	17	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-08-1-Presc-Betamethasone.json	2264	2	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	8	14	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-08-2-Presc-Paracetamol.json	2406	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	9	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-09-Presc-Ropinirole.json	2113	1	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	5	25	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-10-Presc-Methotrexate.json	2185	1	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2	7	26	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-11-1-Presc-VitamineD.json	2325	2	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	3	8	18	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-11-2-Presc-EVRA.json	3013	1	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	2	11	14	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-12-1-Presc-BEPANTHEN.json	2157	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	7	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-12-2-Presc-Methotrexate.json	2158	2	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	6	22	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-12-3-Presc-Enoxaparine.json	3808	2	1	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	2	9	17	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-13-Presc-Desloratadine.json	2360	1	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	2	6	14	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-14-1-Presc-CODOLIPRANE.json	3298	2	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	8	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-14-2-Presc-Betamethasone.json	2712	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	2	6	17	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-15-Presc-Morphine.json	2451	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	6	29	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-16-Presc-Racecadotril.json	2558	2	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	7	25	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-17-Presc-Budesonide.json	2796	1	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	2	7	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-18-Presc-Budesonide-MV.json	2794	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	7	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-19-Presc-Paracetamol.json	2601	1	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	8	13	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-20-Presc-Hydrocortisone.json	2521	2	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	7	18	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-21-Presc-Prednisolone.json	6388	2	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	13	27	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-22-Presc-Prednisolone.json	6390	3	1	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	2	16	22	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-23-1-Presc-Fluindione.json	3496	1	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	11	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-23-2-Presc-Amiodarone.json	2714	2	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	6	13	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-24-1-presc-Doxycyline.json	2439	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	7	13	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-24-1-presc-Topiramate.json	2485	2	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	2	6	14	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-25-NOVORAPID.json	3408	1	1	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	1	8	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-26-Diazepam.json	2443	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	6	17	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-27-1-presc-GLUCOPHAGE.json	2328	1	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	5	13	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-27-2-presc-Rifampicine.json	2163	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	7	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-28-Presc-LOVENOX.json	4003	2	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	10	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-HAS-29-Presc-LOVENOX.json	2745	1	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	6	17	0	0	0	0	0	0
